#KPL:P: shantell-UC_UC_punc
Thorn IJ
Thorn Lslash
Lslash Thorn
Eng Thorn
Thorn Tbar
Tbar Thorn
Thorn Germandbls
Germandbls Thorn
Lslash Dcroat
Eng Dcroat
Tbar Dcroat
Germandbls Dcroat
Lslash IJ
Eng IJ
Tbar IJ
Germandbls IJ
Lslash Lslash
Eng Lslash
Lslash Tbar
Tbar Lslash
Lslash Germandbls
Germandbls Lslash
Eng Tbar
Eng Germandbls
Tbar Tbar
Tbar Germandbls
Germandbls Tbar
Germandbls Germandbls
A hyphen
hyphen A
A gnrl:hyphen
gnrl:hyphen A
A uni2010
uni2010 A
A endash
endash A
A emdash
emdash A
A parenleft
parenleft A
A parenright
parenright A
A bracketleft
bracketleft A
A bracketright
bracketright A
A braceleft
braceleft A
A braceright
braceright A
A quotesingle
quotesingle A
A quotedbl
quotedbl A
A quoteleft
quoteleft A
A quoteright
quoteright A
A quotedblleft
quotedblleft A
A quotedblright
quotedblright A
A quotesinglbase
quotesinglbase A
A quotedblbase
quotedblbase A
A guilsinglleft
guilsinglright A
A guillemetleft
guillemetleft A
A guillemetright
guillemetright A
A asterisk
asterisk A
A question
question A
A slash
slash A
A backslash
backslash A
A hyphen.case
hyphen.case A
A endash.case
endash.case A
A emdash.case
emdash.case A
A parenleft.case
parenleft.case A
A parenright.case
parenright.case A
A bracketleft.case
bracketleft.case A
A bracketright.case
bracketright.case A
A braceleft.case
braceleft.case A
A braceright.case
braceright.case A
A bracketangleleft.case
bracketangleleft.case A
A bracketangleright.case
bracketangleright.case A
A guilsinglleft.case
guilsinglleft.case A
A guilsinglright.case
guilsinglright.case A
A guillemetleft.case
guillemetleft.case A
A guillemetright.case
guillemetright.case A
A slash.case
slash.case A
A backslash.case
backslash.case A
B hyphen
hyphen B
B gnrl:hyphen
gnrl:hyphen B
B uni2010
uni2010 B
B endash
endash B
B emdash
emdash B
B parenleft
parenleft B
B parenright
parenright B
B bracketleft
bracketleft B
B bracketright
bracketright B
B braceleft
braceleft B
B braceright
braceright B
B quotesingle
quotesingle B
B quotedbl
quotedbl B
B quoteleft
quoteleft B
B quoteright
quoteright B
B quotedblleft
quotedblleft B
B quotedblright
quotedblright B
B quotesinglbase
quotesinglbase B
B quotedblbase
quotedblbase B
B guilsinglleft
guilsinglright B
B guillemetleft
guillemetleft B
B guillemetright
guillemetright B
B asterisk
asterisk B
B question
question B
B slash
slash B
B backslash
backslash B
B hyphen.case
hyphen.case B
B endash.case
endash.case B
B emdash.case
emdash.case B
B parenleft.case
parenleft.case B
B parenright.case
parenright.case B
B bracketleft.case
bracketleft.case B
B bracketright.case
bracketright.case B
B braceleft.case
braceleft.case B
B braceright.case
braceright.case B
B bracketangleleft.case
bracketangleleft.case B
B bracketangleright.case
bracketangleright.case B
B guilsinglleft.case
guilsinglleft.case B
B guilsinglright.case
guilsinglright.case B
B guillemetleft.case
guillemetleft.case B
B guillemetright.case
guillemetright.case B
B slash.case
slash.case B
B backslash.case
backslash.case B
C hyphen
hyphen C
C gnrl:hyphen
gnrl:hyphen C
C uni2010
uni2010 C
C endash
endash C
C emdash
emdash C
C parenleft
parenleft C
C parenright
parenright C
C bracketleft
bracketleft C
C bracketright
bracketright C
C braceleft
braceleft C
C braceright
braceright C
C quotesingle
quotesingle C
C quotedbl
quotedbl C
C quoteleft
quoteleft C
C quoteright
quoteright C
C quotedblleft
quotedblleft C
C quotedblright
quotedblright C
C quotesinglbase
quotesinglbase C
C quotedblbase
quotedblbase C
C guilsinglleft
guilsinglright C
C guillemetleft
guillemetleft C
C guillemetright
guillemetright C
C asterisk
asterisk C
C question
question C
C slash
slash C
C backslash
backslash C
C hyphen.case
hyphen.case C
C endash.case
endash.case C
C emdash.case
emdash.case C
C parenleft.case
parenleft.case C
C parenright.case
parenright.case C
C bracketleft.case
bracketleft.case C
C bracketright.case
bracketright.case C
C braceleft.case
braceleft.case C
C braceright.case
braceright.case C
C bracketangleleft.case
bracketangleleft.case C
C bracketangleright.case
bracketangleright.case C
C guilsinglleft.case
guilsinglleft.case C
C guilsinglright.case
guilsinglright.case C
C guillemetleft.case
guillemetleft.case C
C guillemetright.case
guillemetright.case C
C slash.case
slash.case C
C backslash.case
backslash.case C
D hyphen
hyphen D
D gnrl:hyphen
gnrl:hyphen D
D uni2010
uni2010 D
D endash
endash D
D emdash
emdash D
D parenleft
parenleft D
D parenright
parenright D
D bracketleft
bracketleft D
D bracketright
bracketright D
D braceleft
braceleft D
D braceright
braceright D
D quotesingle
quotesingle D
D quotedbl
quotedbl D
D quoteleft
quoteleft D
D quoteright
quoteright D
D quotedblleft
quotedblleft D
D quotedblright
quotedblright D
D quotesinglbase
quotesinglbase D
D quotedblbase
quotedblbase D
D guilsinglleft
guilsinglright D
D guillemetleft
guillemetleft D
D guillemetright
guillemetright D
D asterisk
asterisk D
D question
question D
D slash
slash D
D backslash
backslash D
D hyphen.case
hyphen.case D
D endash.case
endash.case D
D emdash.case
emdash.case D
D parenleft.case
parenleft.case D
D parenright.case
parenright.case D
D bracketleft.case
bracketleft.case D
D bracketright.case
bracketright.case D
D braceleft.case
braceleft.case D
D braceright.case
braceright.case D
D bracketangleleft.case
bracketangleleft.case D
D bracketangleright.case
bracketangleright.case D
D guilsinglleft.case
guilsinglleft.case D
D guilsinglright.case
guilsinglright.case D
D guillemetleft.case
guillemetleft.case D
D guillemetright.case
guillemetright.case D
D slash.case
slash.case D
D backslash.case
backslash.case D
E hyphen
hyphen E
E gnrl:hyphen
gnrl:hyphen E
E uni2010
uni2010 E
E endash
endash E
E emdash
emdash E
E parenleft
parenleft E
E parenright
parenright E
E bracketleft
bracketleft E
E bracketright
bracketright E
E braceleft
braceleft E
E braceright
braceright E
E quotesingle
quotesingle E
E quotedbl
quotedbl E
E quoteleft
quoteleft E
E quoteright
quoteright E
E quotedblleft
quotedblleft E
E quotedblright
quotedblright E
E quotesinglbase
quotesinglbase E
E quotedblbase
quotedblbase E
E guilsinglleft
guilsinglright E
E guillemetleft
guillemetleft E
E guillemetright
guillemetright E
E asterisk
asterisk E
E question
question E
E slash
slash E
E backslash
backslash E
E hyphen.case
hyphen.case E
E endash.case
endash.case E
E emdash.case
emdash.case E
E parenleft.case
parenleft.case E
E parenright.case
parenright.case E
E bracketleft.case
bracketleft.case E
E bracketright.case
bracketright.case E
E braceleft.case
braceleft.case E
E braceright.case
braceright.case E
E bracketangleleft.case
bracketangleleft.case E
E bracketangleright.case
bracketangleright.case E
E guilsinglleft.case
guilsinglleft.case E
E guilsinglright.case
guilsinglright.case E
E guillemetleft.case
guillemetleft.case E
E guillemetright.case
guillemetright.case E
E slash.case
slash.case E
E backslash.case
backslash.case E
F hyphen
hyphen F
F gnrl:hyphen
gnrl:hyphen F
F uni2010
uni2010 F
F endash
endash F
F emdash
emdash F
F parenleft
parenleft F
F parenright
parenright F
F bracketleft
bracketleft F
F bracketright
bracketright F
F braceleft
braceleft F
F braceright
braceright F
F quotesingle
quotesingle F
F quotedbl
quotedbl F
F quoteleft
quoteleft F
F quoteright
quoteright F
F quotedblleft
quotedblleft F
F quotedblright
quotedblright F
F quotesinglbase
quotesinglbase F
F quotedblbase
quotedblbase F
F guilsinglleft
guilsinglright F
F guillemetleft
guillemetleft F
F guillemetright
guillemetright F
F asterisk
asterisk F
F question
question F
F slash
slash F
F backslash
backslash F
F hyphen.case
hyphen.case F
F endash.case
endash.case F
F emdash.case
emdash.case F
F parenleft.case
parenleft.case F
F parenright.case
parenright.case F
F bracketleft.case
bracketleft.case F
F bracketright.case
bracketright.case F
F braceleft.case
braceleft.case F
F braceright.case
braceright.case F
F bracketangleleft.case
bracketangleleft.case F
F bracketangleright.case
bracketangleright.case F
F guilsinglleft.case
guilsinglleft.case F
F guilsinglright.case
guilsinglright.case F
F guillemetleft.case
guillemetleft.case F
F guillemetright.case
guillemetright.case F
F slash.case
slash.case F
F backslash.case
backslash.case F
G hyphen
hyphen G
G gnrl:hyphen
gnrl:hyphen G
G uni2010
uni2010 G
G endash
endash G
G emdash
emdash G
G parenleft
parenleft G
G parenright
parenright G
G bracketleft
bracketleft G
G bracketright
bracketright G
G braceleft
braceleft G
G braceright
braceright G
G quotesingle
quotesingle G
G quotedbl
quotedbl G
G quoteleft
quoteleft G
G quoteright
quoteright G
G quotedblleft
quotedblleft G
G quotedblright
quotedblright G
G quotesinglbase
quotesinglbase G
G quotedblbase
quotedblbase G
G guilsinglleft
guilsinglright G
G guillemetleft
guillemetleft G
G guillemetright
guillemetright G
G asterisk
asterisk G
G question
question G
G slash
slash G
G backslash
backslash G
G hyphen.case
hyphen.case G
G endash.case
endash.case G
G emdash.case
emdash.case G
G parenleft.case
parenleft.case G
G parenright.case
parenright.case G
G bracketleft.case
bracketleft.case G
G bracketright.case
bracketright.case G
G braceleft.case
braceleft.case G
G braceright.case
braceright.case G
G bracketangleleft.case
bracketangleleft.case G
G bracketangleright.case
bracketangleright.case G
G guilsinglleft.case
guilsinglleft.case G
G guilsinglright.case
guilsinglright.case G
G guillemetleft.case
guillemetleft.case G
G guillemetright.case
guillemetright.case G
G slash.case
slash.case G
G backslash.case
backslash.case G
H hyphen
hyphen H
H gnrl:hyphen
gnrl:hyphen H
H uni2010
uni2010 H
H endash
endash H
H emdash
emdash H
H parenleft
parenleft H
H parenright
parenright H
H bracketleft
bracketleft H
H bracketright
bracketright H
H braceleft
braceleft H
H braceright
braceright H
H quotesingle
quotesingle H
H quotedbl
quotedbl H
H quoteleft
quoteleft H
H quoteright
quoteright H
H quotedblleft
quotedblleft H
H quotedblright
quotedblright H
H quotesinglbase
quotesinglbase H
H quotedblbase
quotedblbase H
H guilsinglleft
guilsinglright H
H guillemetleft
guillemetleft H
H guillemetright
guillemetright H
H asterisk
asterisk H
H question
question H
H slash
slash H
H backslash
backslash H
H hyphen.case
hyphen.case H
H endash.case
endash.case H
H emdash.case
emdash.case H
H parenleft.case
parenleft.case H
H parenright.case
parenright.case H
H bracketleft.case
bracketleft.case H
H bracketright.case
bracketright.case H
H braceleft.case
braceleft.case H
H braceright.case
braceright.case H
H bracketangleleft.case
bracketangleleft.case H
H bracketangleright.case
bracketangleright.case H
H guilsinglleft.case
guilsinglleft.case H
H guilsinglright.case
guilsinglright.case H
H guillemetleft.case
guillemetleft.case H
H guillemetright.case
guillemetright.case H
H slash.case
slash.case H
H backslash.case
backslash.case H
I hyphen
hyphen I
I gnrl:hyphen
gnrl:hyphen I
I uni2010
uni2010 I
I endash
endash I
I emdash
emdash I
I parenleft
parenleft I
I parenright
parenright I
I bracketleft
bracketleft I
I bracketright
bracketright I
I braceleft
braceleft I
I braceright
braceright I
I quotesingle
quotesingle I
I quotedbl
quotedbl I
I quoteleft
quoteleft I
I quoteright
quoteright I
I quotedblleft
quotedblleft I
I quotedblright
quotedblright I
I quotesinglbase
quotesinglbase I
I quotedblbase
quotedblbase I
I guilsinglleft
guilsinglright I
I guillemetleft
guillemetleft I
I guillemetright
guillemetright I
I asterisk
asterisk I
I question
question I
I slash
slash I
I backslash
backslash I
I hyphen.case
hyphen.case I
I endash.case
endash.case I
I emdash.case
emdash.case I
I parenleft.case
parenleft.case I
I parenright.case
parenright.case I
I bracketleft.case
bracketleft.case I
I bracketright.case
bracketright.case I
I braceleft.case
braceleft.case I
I braceright.case
braceright.case I
I bracketangleleft.case
bracketangleleft.case I
I bracketangleright.case
bracketangleright.case I
I guilsinglleft.case
guilsinglleft.case I
I guilsinglright.case
guilsinglright.case I
I guillemetleft.case
guillemetleft.case I
I guillemetright.case
guillemetright.case I
I slash.case
slash.case I
I backslash.case
backslash.case I
J hyphen
hyphen J
J gnrl:hyphen
gnrl:hyphen J
J uni2010
uni2010 J
J endash
endash J
J emdash
emdash J
J parenleft
parenleft J
J parenright
parenright J
J bracketleft
bracketleft J
J bracketright
bracketright J
J braceleft
braceleft J
J braceright
braceright J
J quotesingle
quotesingle J
J quotedbl
quotedbl J
J quoteleft
quoteleft J
J quoteright
quoteright J
J quotedblleft
quotedblleft J
J quotedblright
quotedblright J
J quotesinglbase
quotesinglbase J
J quotedblbase
quotedblbase J
J guilsinglleft
guilsinglright J
J guillemetleft
guillemetleft J
J guillemetright
guillemetright J
J asterisk
asterisk J
J question
question J
J slash
slash J
J backslash
backslash J
J hyphen.case
hyphen.case J
J endash.case
endash.case J
J emdash.case
emdash.case J
J parenleft.case
parenleft.case J
J parenright.case
parenright.case J
J bracketleft.case
bracketleft.case J
J bracketright.case
bracketright.case J
J braceleft.case
braceleft.case J
J braceright.case
braceright.case J
J bracketangleleft.case
bracketangleleft.case J
J bracketangleright.case
bracketangleright.case J
J guilsinglleft.case
guilsinglleft.case J
J guilsinglright.case
guilsinglright.case J
J guillemetleft.case
guillemetleft.case J
J guillemetright.case
guillemetright.case J
J slash.case
slash.case J
J backslash.case
backslash.case J
K hyphen
hyphen K
K gnrl:hyphen
gnrl:hyphen K
K uni2010
uni2010 K
K endash
endash K
K emdash
emdash K
K parenleft
parenleft K
K parenright
parenright K
K bracketleft
bracketleft K
K bracketright
bracketright K
K braceleft
braceleft K
K braceright
braceright K
K quotesingle
quotesingle K
K quotedbl
quotedbl K
K quoteleft
quoteleft K
K quoteright
quoteright K
K quotedblleft
quotedblleft K
K quotedblright
quotedblright K
K quotesinglbase
quotesinglbase K
K quotedblbase
quotedblbase K
K guilsinglleft
guilsinglright K
K guillemetleft
guillemetleft K
K guillemetright
guillemetright K
K asterisk
asterisk K
K question
question K
K slash
slash K
K backslash
backslash K
K hyphen.case
hyphen.case K
K endash.case
endash.case K
K emdash.case
emdash.case K
K parenleft.case
parenleft.case K
K parenright.case
parenright.case K
K bracketleft.case
bracketleft.case K
K bracketright.case
bracketright.case K
K braceleft.case
braceleft.case K
K braceright.case
braceright.case K
K bracketangleleft.case
bracketangleleft.case K
K bracketangleright.case
bracketangleright.case K
K guilsinglleft.case
guilsinglleft.case K
K guilsinglright.case
guilsinglright.case K
K guillemetleft.case
guillemetleft.case K
K guillemetright.case
guillemetright.case K
K slash.case
slash.case K
K backslash.case
backslash.case K
L hyphen
hyphen L
L gnrl:hyphen
gnrl:hyphen L
L uni2010
uni2010 L
L endash
endash L
L emdash
emdash L
L parenleft
parenleft L
L parenright
parenright L
L bracketleft
bracketleft L
L bracketright
bracketright L
L braceleft
braceleft L
L braceright
braceright L
L quotesingle
quotesingle L
L quotedbl
quotedbl L
L quoteleft
quoteleft L
L quoteright
quoteright L
L quotedblleft
quotedblleft L
L quotedblright
quotedblright L
L quotesinglbase
quotesinglbase L
L quotedblbase
quotedblbase L
L guilsinglleft
guilsinglright L
L guillemetleft
guillemetleft L
L guillemetright
guillemetright L
L asterisk
asterisk L
L question
question L
L slash
slash L
L backslash
backslash L
L hyphen.case
hyphen.case L
L endash.case
endash.case L
L emdash.case
emdash.case L
L parenleft.case
parenleft.case L
L parenright.case
parenright.case L
L bracketleft.case
bracketleft.case L
L bracketright.case
bracketright.case L
L braceleft.case
braceleft.case L
L braceright.case
braceright.case L
L bracketangleleft.case
bracketangleleft.case L
L bracketangleright.case
bracketangleright.case L
L guilsinglleft.case
guilsinglleft.case L
L guilsinglright.case
guilsinglright.case L
L guillemetleft.case
guillemetleft.case L
L guillemetright.case
guillemetright.case L
L slash.case
slash.case L
L backslash.case
backslash.case L
Lcaron hyphen
Lcaron gnrl:hyphen
Lcaron uni2010
Lcaron endash
Lcaron emdash
Lcaron parenleft
Lcaron parenright
Lcaron bracketleft
Lcaron bracketright
Lcaron braceleft
Lcaron braceright
Lcaron quotesingle
Lcaron quotedbl
Lcaron quoteleft
Lcaron quoteright
Lcaron quotedblleft
Lcaron quotedblright
Lcaron quotesinglbase
Lcaron quotedblbase
Lcaron guilsinglleft
Lcaron guillemetleft
Lcaron guillemetright
Lcaron asterisk
Lcaron question
Lcaron slash
Lcaron backslash
Lcaron hyphen.case
Lcaron endash.case
Lcaron emdash.case
Lcaron parenleft.case
Lcaron parenright.case
Lcaron bracketleft.case
Lcaron bracketright.case
Lcaron braceleft.case
Lcaron braceright.case
Lcaron bracketangleleft.case
Lcaron bracketangleright.case
Lcaron guilsinglleft.case
Lcaron guilsinglright.case
Lcaron guillemetleft.case
Lcaron guillemetright.case
Lcaron slash.case
Lcaron backslash.case
M hyphen
hyphen M
M gnrl:hyphen
gnrl:hyphen M
M uni2010
uni2010 M
M endash
endash M
M emdash
emdash M
M parenleft
parenleft M
M parenright
parenright M
M bracketleft
bracketleft M
M bracketright
bracketright M
M braceleft
braceleft M
M braceright
braceright M
M quotesingle
quotesingle M
M quotedbl
quotedbl M
M quoteleft
quoteleft M
M quoteright
quoteright M
M quotedblleft
quotedblleft M
M quotedblright
quotedblright M
M quotesinglbase
quotesinglbase M
M quotedblbase
quotedblbase M
M guilsinglleft
guilsinglright M
M guillemetleft
guillemetleft M
M guillemetright
guillemetright M
M asterisk
asterisk M
M question
question M
M slash
slash M
M backslash
backslash M
M hyphen.case
hyphen.case M
M endash.case
endash.case M
M emdash.case
emdash.case M
M parenleft.case
parenleft.case M
M parenright.case
parenright.case M
M bracketleft.case
bracketleft.case M
M bracketright.case
bracketright.case M
M braceleft.case
braceleft.case M
M braceright.case
braceright.case M
M bracketangleleft.case
bracketangleleft.case M
M bracketangleright.case
bracketangleright.case M
M guilsinglleft.case
guilsinglleft.case M
M guilsinglright.case
guilsinglright.case M
M guillemetleft.case
guillemetleft.case M
M guillemetright.case
guillemetright.case M
M slash.case
slash.case M
M backslash.case
backslash.case M
N hyphen
hyphen N
N gnrl:hyphen
gnrl:hyphen N
N uni2010
uni2010 N
N endash
endash N
N emdash
emdash N
N parenleft
parenleft N
N parenright
parenright N
N bracketleft
bracketleft N
N bracketright
bracketright N
N braceleft
braceleft N
N braceright
braceright N
N quotesingle
quotesingle N
N quotedbl
quotedbl N
N quoteleft
quoteleft N
N quoteright
quoteright N
N quotedblleft
quotedblleft N
N quotedblright
quotedblright N
N quotesinglbase
quotesinglbase N
N quotedblbase
quotedblbase N
N guilsinglleft
guilsinglright N
N guillemetleft
guillemetleft N
N guillemetright
guillemetright N
N asterisk
asterisk N
N question
question N
N slash
slash N
N backslash
backslash N
