#KPL:P: UC_UC_punc
guilsinglleft L
L guilsinglright
guilsinglleft M
M guilsinglright
guilsinglleft N
N guilsinglright
guilsinglleft O
O guilsinglright
guilsinglleft P
P guilsinglright
guilsinglleft Q
Q guilsinglright
guilsinglleft R
R guilsinglright
guilsinglleft S
S guilsinglright
guilsinglleft T
T guilsinglright
guilsinglleft U
U guilsinglright
guilsinglleft V
V guilsinglright
guilsinglleft W
W guilsinglright
guilsinglleft X
X guilsinglright
guilsinglleft Y
Y guilsinglright
guilsinglleft Z
Z guilsinglright
guilsinglleft Oslash
Oslash guilsinglright
guilsinglleft asterisk
asterisk guilsinglright
guilsinglleft period
period guilsinglright
guilsinglleft comma
comma guilsinglright
guilsinglleft colon
colon guilsinglright
guilsinglleft semicolon
semicolon guilsinglright
guilsinglleft exclam
exclam guilsinglright
guilsinglleft question
question guilsinglright
guilsinglleft slash
slash guilsinglright
guilsinglleft backslash
backslash guilsinglright
guillemetleft A
A guillemetright
guillemetleft B
B guillemetright
guillemetleft C
C guillemetright
guillemetleft D
D guillemetright
guillemetleft E
E guillemetright
guillemetleft F
F guillemetright
guillemetleft G
G guillemetright
guillemetleft H
H guillemetright
guillemetleft I
I guillemetright
guillemetleft J
J guillemetright
guillemetleft K
K guillemetright
guillemetleft L
L guillemetright
guillemetleft M
M guillemetright
guillemetleft N
N guillemetright
guillemetleft O
O guillemetright
guillemetleft P
P guillemetright
guillemetleft Q
Q guillemetright
guillemetleft R
R guillemetright
guillemetleft S
S guillemetright
guillemetleft T
T guillemetright
guillemetleft U
U guillemetright
guillemetleft V
V guillemetright
guillemetleft W
W guillemetright
guillemetleft X
X guillemetright
guillemetleft Y
Y guillemetright
guillemetleft Z
Z guillemetright
guillemetleft Oslash
Oslash guillemetright
guillemetleft asterisk
asterisk guillemetright
guillemetleft period
period guillemetright
guillemetleft comma
comma guillemetright
guillemetleft colon
colon guillemetright
guillemetleft semicolon
semicolon guillemetright
guillemetleft exclam
exclam guillemetright
guillemetleft question
question guillemetright
guillemetleft slash
slash guillemetright
guillemetleft backslash
backslash guillemetright
exclamdown A
exclamdown B
exclamdown C
exclamdown D
exclamdown E
exclamdown F
exclamdown G
exclamdown H
exclamdown I
exclamdown J
exclamdown K
exclamdown L
exclamdown M
exclamdown N
exclamdown O
exclamdown P
exclamdown Q
exclamdown R
exclamdown S
exclamdown T
exclamdown U
exclamdown V
exclamdown W
exclamdown X
exclamdown Y
exclamdown Z
exclamdown Oslash
exclamdown asterisk
exclamdown period
exclamdown comma
exclamdown colon
exclamdown semicolon
exclamdown exclam
exclamdown question
exclamdown slash
exclamdown backslash
questiondown A
questiondown B
questiondown C
questiondown D
questiondown E
questiondown F
questiondown G
questiondown H
questiondown I
questiondown J
questiondown K
questiondown L
questiondown M
questiondown N
questiondown O
questiondown P
questiondown Q
questiondown R
questiondown S
questiondown T
questiondown U
questiondown V
questiondown W
questiondown X
questiondown Y
questiondown Z
questiondown Oslash
questiondown asterisk
questiondown period
questiondown comma
questiondown colon
questiondown semicolon
questiondown exclam
questiondown question
questiondown slash
questiondown backslash
